phenotype	endpoint
Height, inverse-rank normalized	HEIGHT_IRN
Weight, inverse-rank normalized	WEIGHT_IRN
Body-mass index, inverse-rank normalized	BMI_IRN
Hypertension	I9_HYPTENS
Type 2 diabetes, definitions combined	T2D
Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)	KELA_DIAB_INSUL_EXMORE
Hypertension, essential	I9_HYPTENSESS
Antihypertensive medication - note that there are other indications	RX_ANTIHYP
Statin medication	RX_STATIN
Type 2 diabetes, wide definition	T2D_WIDE
Varicose veins	I9_VARICVE
Hypothyroidism, strict autoimmune	E4_HYTHY_AI_STRICT
Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH
Autoimmune diseases	AUTOIMMUNE
Disorders of the thyroid gland	E4_THYROID
Atrial fibrillation and flutter	I9_AF
Atrial fibrillation and flutter with reimbursement	I9_AF_REIMB
Coronary revascularization (ANGIO or CABG)	I9_REVASC
Coronary atherosclerosis	I9_CORATHER
Leiomyoma of uterus	CD2_BENIGN_LEIOMYOMA_UTERI
Ischaemic heart disease, wide definition	I9_IHD
Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA
Malignant neoplasm of prostate, excluding all cancers (controls excluding all cancers)	C3_PROSTATE_EXALLC
Gonarthrosis	M13_ARTHROSIS_KNEE
Arthrosis	M13_ARTHROSIS
Artrosis, including avohilmo	M13_ARTHROSIS_INCLAVO
Cardiovascular diseases (excluding rheumatic etc)	FG_CVD
Cardiac arrhythmias	CARDIAC_ARRHYTM
Inguinal hernia	K11_HERING
Malignant neoplasm of skin, excluding all cancers (controls excluding all cancers)	C3_SKIN_EXALLC
Basal cell carcinoma, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_EXALLC
Glaucoma	H7_GLAUCOMA
Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC
Cholelithiasis	K11_CHOLELITH
Chronic lower respiratory diseases	J10_LOWCHRON
Diverticular disease of intestine	K11_DIVERTIC
Hernia	K11_HERNIA
Major coronary heart disease event	I9_CHD
Angina pectoris	I9_ANGINA
Asthma (more control exclusions)	J10_ASTHMA_EXMORE
Coronary artery bypass grafting	I9_CABG
Other malignant neoplasms of skin (=non-melanoma skin cancer), excluding all cancers (controls excluding all cancers)	C3_OTHER_SKIN_EXALLC
Malignant neoplasm of breast, excluding all cancers (controls excluding all cancers)	C3_BREAST_EXALLC
